"Current","Previous","Estimate","Error"
"Vermont","Idaho",0,145
"Virginia","Idaho",434,430
"Washington","Idaho",10895,4263
"West Virginia","Idaho",120,127
"Wisconsin","Idaho",566,434
"Wyoming","Idaho",2140,1161
"Puerto Rico","Idaho",13,24
"Alabama","Illinois",6991,3376
"Alaska","Illinois",985,686
"Arizona","Illinois",10035,4129
"Arkansas","Illinois",3684,2143
"California","Illinois",20834,3496
"Colorado","Illinois",6027,1536
"Connecticut","Illinois",1843,965
"Delaware","Illinois",34,35
"District of Columbia ","Illinois",1397,814
"Florida","Illinois",19152,3962
"Georgia","Illinois",6080,1774
"Hawaii","Illinois",1884,728
"Idaho","Illinois",390,342
"Illinois","Illinois","N/A","N/A"
"Indiana","Illinois",23071,4221
"Iowa","Illinois",13725,2238
"Kansas","Illinois",2760,1019
"Kentucky","Illinois",4273,1415
"Louisiana","Illinois",1189,417
"Maine","Illinois",675,358
"Maryland","Illinois",2392,1052
"Massachusetts","Illinois",2991,899
"Michigan","Illinois",9897,1863
"Minnesota","Illinois",8209,2632
"Mississippi","Illinois",2068,853
"Missouri","Illinois",20161,3086
"Montana","Illinois",765,526
"Nebraska","Illinois",1415,777
"Nevada","Illinois",1668,1031
"New Hampshire","Illinois",478,402
"New Jersey","Illinois",3690,1572
"New Mexico","Illinois",466,315
"New York","Illinois",6914,1720
"North Carolina","Illinois",5971,2065
"North Dakota","Illinois",571,504
"Ohio","Illinois",7027,1504
"Oklahoma","Illinois",2179,1297
"Oregon","Illinois",1350,663
"Pennsylvania","Illinois",3902,1438
"Rhode Island","Illinois",373,375
"South Carolina","Illinois",2371,831
"South Dakota","Illinois",267,235
"Tennessee","Illinois",8593,2245
"Texas","Illinois",15064,3097
"Utah","Illinois",1447,825
"Vermont","Illinois",386,245
"Virginia","Illinois",4000,1213
"Washington","Illinois",2062,821
"West Virginia","Illinois",1331,1134
"Wisconsin","Illinois",25521,4568
"Wyoming","Illinois",450,409
"Puerto Rico","Illinois",624,537
"Alabama","Indiana",1434,634
"Alaska","Indiana",181,156
"Arizona","Indiana",5855,1956
"Arkansas","Indiana",1362,1007
"California","Indiana",4673,1297
"Colorado","Indiana",2116,1289
"Connecticut","Indiana",168,214
"Delaware","Indiana",210,235
"District of Columbia ","Indiana",128,147
"Florida","Indiana",11472,3254
"Georgia","Indiana",2442,1297
"Hawaii","Indiana",402,280
"Idaho","Indiana",296,352
"Illinois","Indiana",23491,5269
"Indiana","Indiana","N/A","N/A"
"Iowa","Indiana",349,204
"Kansas","Indiana",863,458
"Kentucky","Indiana",11071,2846
"Louisiana","Indiana",1549,827
"Maine","Indiana",164,157
"Maryland","Indiana",1318,791
"Massachusetts","Indiana",640,456
"Michigan","Indiana",7668,1841
"Minnesota","Indiana",786,470
"Mississippi","Indiana",611,411
"Missouri","Indiana",4404,1588
"Montana","Indiana",646,646
"Nebraska","Indiana",615,541
"Nevada","Indiana",855,781
"New Hampshire","Indiana",470,394
"New Jersey","Indiana",718,436
"New Mexico","Indiana",2030,2244
"New York","Indiana",2198,958
"North Carolina","Indiana",3228,1379
"North Dakota","Indiana",130,171
"Ohio","Indiana",11588,2147
"Oklahoma","Indiana",2113,1098
"Oregon","Indiana",1371,1707
"Pennsylvania","Indiana",4086,1429
"Rhode Island","Indiana",41,95
"South Carolina","Indiana",3249,1601
"South Dakota","Indiana",285,378
"Tennessee","Indiana",5645,1932
"Texas","Indiana",10265,3693
"Utah","Indiana",545,398
"Vermont","Indiana",258,210
"Virginia","Indiana",2703,1067
"Washington","Indiana",2303,1315
"West Virginia","Indiana",210,200
"Wisconsin","Indiana",4017,2027
"Wyoming","Indiana",6,14
"Puerto Rico","Indiana",784,895
"Alabama","Iowa",30,52
"Alaska","Iowa",319,374
"Arizona","Iowa",4526,1745
"Arkansas","Iowa",851,773
"California","Iowa",3324,1701
"Colorado","Iowa",3510,1495
"Connecticut","Iowa",67,120
"Delaware","Iowa",0,192
"District of Columbia ","Iowa",241,284
"Florida","Iowa",1846,1137
"Georgia","Iowa",950,528
"Hawaii","Iowa",478,504
"Idaho","Iowa",318,424
"Illinois","Iowa",8420,1581
"Indiana","Iowa",916,468
"Iowa","Iowa","N/A","N/A"
"Kansas","Iowa",1715,888
"Kentucky","Iowa",536,410
"Louisiana","Iowa",468,441
"Maine","Iowa",275,452
"Maryland","Iowa",110,146
"Massachusetts","Iowa",138,136
"Michigan","Iowa",1709,1026
"Minnesota","Iowa",6175,1326
"Mississippi","Iowa",650,603
"Missouri","Iowa",4811,1405
"Montana","Iowa",417,307
"Nebraska","Iowa",9575,2602
"Nevada","Iowa",114,188
"New Hampshire","Iowa",47,78
"New Jersey","Iowa",332,441
"New Mexico","Iowa",0,198
"New York","Iowa",928,783
"North Carolina","Iowa",654,530
"North Dakota","Iowa",208,178
"Ohio","Iowa",1146,614
"Oklahoma","Iowa",580,536
"Oregon","Iowa",659,627
"Pennsylvania","Iowa",1176,960
"Rhode Island","Iowa",82,145
"South Carolina","Iowa",1379,1468
"South Dakota","Iowa",4772,1898
"Tennessee","Iowa",387,432
"Texas","Iowa",3236,1628
"Utah","Iowa",290,250
"Vermont","Iowa",0,145
"Virginia","Iowa",1503,899
"Washington","Iowa",1000,465
"West Virginia","Iowa",0,184
"Wisconsin","Iowa",3306,1757
"Wyoming","Iowa",342,323
"Puerto Rico","Iowa",0,210
"Alabama","Kansas",842,632
"Alaska","Kansas",750,741
"Arizona","Kansas",1708,883
"Arkansas","Kansas",2008,1142
"California","Kansas",2810,1256
"Colorado","Kansas",3718,1495
"Connecticut","Kansas",16,36
